,premier,home,away,time
1143,AFC Asian Cup,United Arab Emirates,Bahrain,2019-01-05 11:00
1144,English League One,Blackpool,Wycombe Wanderers,2019-01-05 10:00
1145,English League One,Bristol Rovers,Peterborough United,2019-01-05 10:00
1146,English League One,Charlton Athletic,Sunderland,2019-01-05 10:00
1147,English League One,Plymouth Argyle,Walsall,2019-01-05 10:00
1148,English League One,Rochdale,Burton Albion,2019-01-05 10:00
1149,English League One,Scunthorpe United,Coventry City,2019-01-05 10:00
1150,English League Two,Cambridge United,Stevenage,2019-01-05 10:00
1151,English League Two,Carlisle United,Mansfield Town,2019-01-05 10:00
1152,English League Two,Colchester United,Notts County,2019-01-05 10:00
1153,English League Two,Crawley Town,Cheltenham Town,2019-01-05 10:00
1154,English League Two,Macclesfield Town,Swindon Town,2019-01-05 10:00
1155,English League Two,Morecambe,Crewe Alexandra,2019-01-05 10:00
1156,English League Two,Newport County,Port Vale,2019-01-05 10:00
1157,English League Two,Tranmere Rovers,Northampton Town,2019-01-05 10:00
1158,English League Two,Yeovil Town,Bury,2019-01-05 10:00
1159,English National League,Bromley,AFC Fylde,2019-01-05 10:00
1160,English National League,Chesterfield,Ebbsfleet United,2019-01-05 10:00
1161,English National League,Dagenham & Redbridge,Boreham Wood,2019-01-05 10:00
1162,English National League,Gateshead,Maidenhead Utd,2019-01-05 10:00
1163,English National League,Halifax,Braintree Town,2019-01-05 10:00
1164,English National League,Hartlepool United,Maidstone United,2019-01-05 10:00
1165,English National League,Havant & Waterlooville,Barrow,2019-01-05 10:00
1166,English National League,Leyton Orient,Salford City,2019-01-05 10:00
1167,English National League,Solihull Moors,Eastleigh,2019-01-05 10:00
1168,English National League,Sutton United,Harrogate Town,2019-01-05 10:00
1169,English National League,Wrexham,Dover,2019-01-05 10:00
1170,Scottish Championship,Ayr United,Falkirk,2019-01-05 10:00
1171,Scottish Championship,Dundee United,Partick Thistle,2019-01-05 10:00
1172,Scottish Championship,Dunfermline Athletic,Alloa Athletic,2019-01-05 10:00
1173,Scottish Championship,Inverness Caledonian Thistle,Queen of the South,2019-01-05 10:00
1174,Scottish League One,Arbroath,Brechin City,2019-01-05 10:00
1175,Scottish League One,Dumbarton,Forfar Athletic,2019-01-05 10:00
1176,Scottish League One,East Fife,Airdrieonians,2019-01-05 10:00
1177,Scottish League One,Raith Rovers,Stenhousemuir,2019-01-05 10:00
1178,Scottish League One,Stranraer,Montrose,2019-01-05 10:00
1179,Scottish League Two,Annan Athletic,Elgin City,2019-01-05 10:00
1180,Scottish League Two,Cowdenbeath,Berwick Rangers,2019-01-05 10:00
1181,Scottish League Two,Edinburgh City,Stirling Albion,2019-01-05 10:00
1182,Scottish League Two,Peterhead,Clyde,2019-01-05 10:00
1183,Scottish League Two,Queen's Park,Albion Rovers,2019-01-05 10:00
1184,Welsh Premier League,Caernarfon,Carmarthen,2019-01-05 09:30
1185,Welsh Premier League,Cardiff MU,Bala Town,2019-01-05 09:30
1186,Welsh Premier League,Cefn Druids,Barry Town,2019-01-05 09:30
1187,Welsh Premier League,Llanelli,Llandudno Town,2019-01-05 09:30
1188,Indian I-League,Aizawl FC,Indian Arrows,2019-01-05 03:30
1189,Indian I-League,Churchill Brothers,Minerva Punjab,2019-01-05 06:30
1190,South African Premiership,Kaizer Chiefs,Mamelodi Sundowns,2019-01-05 08:30
1191,South African Premiership,Polokwane City FC,Amazulu,2019-01-05 08:30
1192,South African Premiership,Free State Stars,Bidvest Wits,2019-01-05 11:00
1193,South African Premiership,Highlands Park FC,Orlando Pirates,2019-01-05 13:15
1194,South African Premiership,SuperSport United,Cape Town City FC,2019-01-05 13:15
1195,South African First Division,Pretoria Univ,Real Kings,2019-01-05 09:00
1196,South African First Division,Tshakhuma Tsha Madzivhandila,Uthongathi,2019-01-05 09:00
1197,South African First Division,Ubuntu Cape Town,Ajax Cape Town,2019-01-05 09:00
1198,South African First Division,Witbank Spurs,Cape Umoya United,2019-01-05 09:00
1199,English FA Cup,Fulham,Oldham Athletic,2019-01-06 09:00
1200,English FA Cup,Manchester City,Rotherham United,2019-01-06 09:00
1201,English FA Cup,Millwall,Hull City,2019-01-06 09:00
1202,English FA Cup,Preston North End,Doncaster Rovers,2019-01-06 09:00
1203,English FA Cup,Queens Park Rangers,Leeds United,2019-01-06 09:00
1204,English FA Cup,Sheffield United,Barnet,2019-01-06 09:00
1205,English FA Cup,Woking,Watford,2019-01-06 09:00
1206,English FA Cup,TBD,Leicester City,2019-01-06 11:30
1207,Portuguese Liga,Belenenses,Guimaraes,2019-01-06 07:00
1208,Portuguese Liga,Benfica,Rio Ave,2019-01-06 07:00
1209,Portuguese Liga,Braga,Boavista,2019-01-06 07:00
1210,Portuguese Liga,FC Porto,CD Nacional de Madeira,2019-01-06 07:00
1211,Portuguese Liga,Feirense,Santa Clara,2019-01-06 07:00
1212,Portuguese Liga,Maritimo,Portimonense,2019-01-06 07:00
1213,Portuguese Liga,Moreirense,Desportivo Aves,2019-01-06 07:00
1214,Portuguese Liga,Tondela,Sporting CP,2019-01-06 07:00
1215,Portuguese Liga,Vitoria Setubal,GD Chaves,2019-01-06 07:00
1216,Australian A-League,Melbourne City FC,Newcastle Jets,2019-01-06 01:00
1217,Australian A-League,Brisbane Roar,Perth Glory,2019-01-06 03:00
1218,AFC Asian Cup,Australia,Jordan,2019-01-06 06:00
1219,AFC Asian Cup,Thailand,India,2019-01-06 08:30
1220,AFC Asian Cup,Syria,Palestine,2019-01-06 11:00
1221,Brazilian Campeonato Carioca,América-RJ,Macaé,2019-01-06 13:00
1222,Brazilian Campeonato Carioca,Resende,Goytacaz,2019-01-06 13:00
1223,Indian I-League,Mohun Bagan,Real Kashmir,2019-01-06 03:30
1224,South African Premiership,Baroka FC,Black Leopards,2019-01-06 08:30
1225,South African Premiership,Golden Arrows,Maritzburg Utd,2019-01-06 08:30
1226,South African First Division,Jomo Cosmos,Maccabi FC,2019-01-06 09:00
1227,South African First Division,Stellenbosch FC,Royal Eagles,2019-01-06 09:00
1228,South African First Division,TS Galaxy,Richards Bay,2019-01-06 09:00
1229,South African First Division,TS Sporting,Mbombela United,2019-01-06 09:00
